order_id,customer_id,restaurant_name,cuisine_category,city,order_value_inr,order_time,delivered_time,status,cancellation_reason,rating,delivery_person_id,delivery_distance_km,delivery_duration_mins,is_on_time
ORDR_120396,CUST_1752,Dakshin Delight,South Indian,Chennai,120,2025-06-01 00:09:04,2025-06-01 01:00:04,Delivered,,5.0,DELV_311,6.9,51.0,False
ORDR_122397,CUST_1577,Biryani Blues,Biryani,Bangalore,279,2025-06-01 00:14:24,2025-06-01 01:12:24,Delivered,,,DELV_161,9.4,58.0,False
ORDR_109017,CUST_1577,Burger Singh,Fast Food,Bangalore,350,2025-06-01 05:20:23,2025-06-01 06:15:23,Delivered,,4.0,DELV_122,8.4,55.0,False
ORDR_117588,CUST_3278,KFC,Fast Food,Hyderabad,199,2025-06-01 11:20:01,2025-06-01 11:50:01,Delivered,,3.0,DELV_281,3.6,30.0,True
ORDR_112319,CUST_1577,KFC,Fast Food,Bangalore,393,2025-06-01 11:45:39,2025-06-01 12:29:39,Delivered,,4.0,DELV_130,3.3,44.0,False
ORDR_110196,CUST_1577,Sweet Truth,Desserts,Bangalore,166,2025-06-01 11:56:32,2025-06-01 12:45:32,Delivered,,,DELV_347,5.3,49.0,False
ORDR_116901,CUST_2335,Shanti Dhaba,North Indian,Bangalore,320,2025-06-01 12:48:29,2025-06-01 13:54:29,Delivered,,4.0,DELV_214,11.9,66.0,False
ORDR_115248,CUST_2678,Moti Mahal,North Indian,Pune,271,2025-06-01 12:50:04,,Cancelled,Delivery partner unavailable,,,1.5,,False
ORDR_121967,CUST_1577,Saravana Bhavan,South Indian,Bangalore,120,2025-06-01 13:05:38,,Cancelled,Restaurant rejected,,,9.0,,False
ORDR_123887,CUST_1577,Paradise Biryani,Biryani,Bangalore,324,2025-06-01 13:22:33,2025-06-01 14:10:33,Delivered,,3.0,DELV_197,2.3,48.0,False
ORDR_118130,CUST_1203,Tandoori Nights,North Indian,Mumbai,215,2025-06-01 14:05:29,,Cancelled,Delivery partner unavailable,,,5.2,,False
ORDR_117459,CUST_1577,Mehfil,Biryani,Bangalore,426,2025-06-01 14:06:22,2025-06-01 15:00:22,Delivered,,,DELV_172,1.9,54.0,False
ORDR_116213,CUST_3656,Idli Factory,South Indian,Chennai,152,2025-06-01 14:46:06,2025-06-01 15:20:06,Delivered,,4.0,DELV_364,1.3,34.0,True
ORDR_113499,CUST_2335,Idli Factory,South Indian,Bangalore,235,2025-06-01 14:47:51,2025-06-01 15:31:51,Delivered,,,DELV_134,3.6,44.0,False
ORDR_113978,CUST_1415,Subway Corner,Fast Food,Bangalore,391,2025-06-01 14:59:47,2025-06-01 15:41:47,Delivered,,4.0,DELV_347,4.2,42.0,False
ORDR_114796,CUST_3656,Saravana Bhavan,South Indian,Chennai,269,2025-06-01 15:16:22,2025-06-01 16:00:22,Delivered,,,DELV_162,3.3,44.0,False
ORDR_121461,CUST_3656,Saravana Bhavan,South Indian,Chennai,190,2025-06-01 15:32:35,2025-06-01 16:11:35,Delivered,,,DELV_151,6.3,39.0,True
ORDR_109103,CUST_4321,MTR,South Indian,Chennai,148,2025-06-01 16:44:38,2025-06-01 17:19:38,Delivered,,4.0,DELV_213,5.3,35.0,True
ORDR_117923,CUST_3656,Dragon Bowl,Chinese,Chennai,260,2025-06-01 17:46:54,2025-06-01 18:22:54,Delivered,,3.0,DELV_282,2.9,36.0,True
ORDR_113977,CUST_3278,MTR,South Indian,Hyderabad,348,2025-06-01 18:00:24,2025-06-01 18:38:24,Delivered,,3.0,DELV_244,3.0,38.0,True
ORDR_123026,CUST_1669,Paradise Biryani,Biryani,Hyderabad,250,2025-06-01 18:13:40,,Cancelled,Delivery partner unavailable,,,15.0,,False
ORDR_118900,CUST_3656,Paradise Biryani,Biryani,Chennai,331,2025-06-01 18:28:26,2025-06-01 18:55:26,Delivered,,,DELV_213,1.4,27.0,True
ORDR_121008,CUST_3656,Sagar Ratna,South Indian,Chennai,172,2025-06-01 18:34:14,2025-06-01 19:13:14,Delivered,,4.0,DELV_373,2.9,39.0,True
ORDR_109947,CUST_1595,Tandoori Nights,North Indian,Delhi,120,2025-06-01 18:51:01,2025-06-01 19:15:01,Delivered,,4.0,DELV_196,1.1,24.0,True
ORDR_120500,CUST_3295,The Noodle Theory,Chinese,Delhi,120,2025-06-01 19:02:03,2025-06-01 19:38:03,Delivered,,,DELV_179,1.4,36.0,True
